id_hogar,cve_municipio,municipio,pa_mediana_remesa,pa_media_remesa,pa_desv_remesa,pa_cv_remesa,pa_pendiente_24m,pa_pendiente_norm,pa_n_meses_sin_envio,pa_max_racha_sin_envio,pa_fuerza_estacional,pa_antiguedad_meses,pa_cuota_propuesta_mxn,pa_ratio_remesa_cuota,pb_edad,pb_genero_F,pb_n_dependientes,pb_escolaridad_ord,pb_vivienda_propia,pb_vivienda_rentada,pc_iim_dp2,pc_pct_viv_remesas,pc_pct_viv_emigrantes,pc_imn_2020,pc_escolaridad_promedio_mun,pc_pct_pob_ocupada_2sm,pc_score_regional,pc_sub_capacidad_pago,pc_sub_intensidad_migratoria
H000001,14001,Acatic,419.8026,422.50126086956533,98.71241156106755,0.23363814668364286,2.990359826086956,0.007123252276395992,1,1,0.9999952177678317,51,6196.463174669048,1.2194773997674226,49.0,0.0,1.0,3.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000002,14001,Acatic,462.3799,447.0446086956522,112.41506243560437,0.25146274051620765,0.5444678260869557,0.0011775335088894557,1,1,0.9834744202146021,49,6151.057808054628,1.3530742938395879,33.0,1.0,2.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000003,14001,Acatic,396.26959999999997,424.6008291666667,111.38194486289245,0.2623215434635249,-0.26137891304347804,-0.0006595987000856943,0,0,1.0,88,6367.850415635865,1.1201351059512514,54.0,1.0,1.0,2.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000004,14001,Acatic,425.3019,424.7379,85.77814167802042,0.20195546872087566,-4.6542655217391316,-0.010943439288042521,1,1,0.8465769017990183,80,6584.2105911541075,1.1626958302769177,56.0,1.0,1.0,4.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000005,14001,Acatic,603.8679500000001,598.866825,162.98199729719752,0.2721506526884296,5.823873391304348,0.009644282978264283,0,0,1.0,105,9271.775862664865,1.1723345409771249,22.0,1.0,2.0,4.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000006,14001,Acatic,161.9294,183.45638695652175,73.05266141952482,0.3982017886182286,-0.4789889999999992,-0.00295801133086394,1,1,1.0,37,2655.5652988491647,1.0975927427817904,29.0,1.0,2.0,0.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000007,14001,Acatic,306.56845,347.68044545454546,119.75228796931773,0.34443204826419765,5.816652782608696,0.018973422681325153,2,1,1.0,47,5201.869429781721,1.0608171109422777,47.0,1.0,0.0,4.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000008,14001,Acatic,157.7406,160.9549260869565,45.347764329589786,0.2817420095927383,3.162001086956521,0.020045575374738788,1,1,1.0,38,2203.8179370409202,1.2883690400543644,41.0,0.0,3.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000009,14001,Acatic,409.41005,430.23490833333335,119.54289491695444,0.2778549406417206,-0.009544086956522495,-2.3311804281605922e-05,0,0,0.9187663130727697,138,6559.994395626416,1.123382194489862,45.0,0.0,1.0,2.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000010,14001,Acatic,259.03785,276.004045,103.3882173826932,0.37458950060928703,-4.649854739130434,-0.01795048383520182,4,1,0.3900715944165615,113,4104.933429985697,1.1358725737036486,35.0,0.0,2.0,1.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000011,14001,Acatic,361.66435,405.2993666666667,171.74149522600038,0.4237398558958198,-0.6861771304347823,-0.0018972761081781555,0,0,1.0,38,5841.1481629085765,1.1144997727224903,56.0,1.0,1.0,2.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000012,14001,Acatic,275.33140000000003,278.1237636363636,81.1469965751545,0.2917657790696776,-3.773474695652174,-0.013705210141858768,2,1,1.0,96,3869.834531737694,1.2806659197840677,54.0,1.0,0.0,0.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000013,14001,Acatic,255.0868,261.9102652173914,78.81116349647317,0.300909028636423,7.2571009130434785,0.028449535268165495,1,1,1.0,45,3789.9787441047106,1.21150083153953,46.0,1.0,2.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000014,14001,Acatic,298.5841,316.75691739130434,82.37077877319365,0.2600441355837456,-2.0116079565217397,-0.0067371569903479115,1,1,0.6854848880332556,80,4504.356512171608,1.1931812647327238,59.0,1.0,2.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000015,14001,Acatic,431.6044,398.1757714285714,110.30492630292693,0.2770257113012575,2.696155913043478,0.006246822120079123,3,1,1.0,71,5683.1663158945885,1.3669983893084605,51.0,1.0,2.0,4.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000016,14001,Acatic,509.4681,551.1289478260869,180.39016667926137,0.32731027355903813,4.887415826086957,0.009593173401998981,1,1,0.7529899875067888,159,7459.88551871795,1.2292984626895482,35.0,0.0,4.0,2.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000017,14001,Acatic,276.31359999999995,262.66398333333336,59.6915309247589,0.22725434285753388,3.467761478260869,0.01255009336587439,0,0,1.0,127,3931.384028703909,1.2651129382645687,49.0,0.0,2.0,3.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
H000018,14001,Acatic,351.02255,375.05173181818185,132.22551618153983,0.3525527412992731,7.928906043478262,0.022588024739374327,2,1,0.5556836654037249,103,5828.8959211237325,1.0839798798091933,33.0,1.0,5.0,2.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032
