id_hogar,cve_municipio,municipio,edad_receptor,genero_receptor,escolaridad,n_dependientes,tipo_vivienda_actual,antiguedad_recepcion_meses,remesa_mediana_esperada_usd
H000001,14001,Acatic,49,M,media_superior,1,propia,51,429.88
H000002,14001,Acatic,33,F,primaria,2,propia,49,426.73
H000003,14001,Acatic,54,F,secundaria,1,prestada,88,441.77
H000004,14001,Acatic,56,F,superior,1,prestada,80,456.78
H000005,14001,Acatic,22,F,superior,2,propia,105,643.23
H000006,14001,Acatic,29,F,sin_estudios,2,rentada,37,184.23
H000007,14001,Acatic,47,F,superior,0,rentada,47,360.88
H000008,14001,Acatic,41,M,primaria,3,propia,38,152.89
H000009,14001,Acatic,45,M,secundaria,1,rentada,138,455.1
H000010,14001,Acatic,35,M,primaria,2,rentada,113,284.78
H000011,14001,Acatic,56,F,secundaria,1,rentada,38,405.23
H000012,14001,Acatic,54,F,sin_estudios,0,propia,96,268.47
H000013,14001,Acatic,46,F,primaria,2,propia,45,262.93
H000014,14001,Acatic,59,F,primaria,2,propia,80,312.49
H000015,14001,Acatic,51,F,superior,2,rentada,71,394.27
H000016,14001,Acatic,35,M,secundaria,4,prestada,159,517.53
H000017,14001,Acatic,49,M,media_superior,2,rentada,127,272.74
H000018,14001,Acatic,33,F,secundaria,5,rentada,103,404.38
H000019,14001,Acatic,56,F,primaria,1,propia,25,456.0
H000020,14001,Acatic,44,F,sin_estudios,4,propia,68,304.8
H000021,14001,Acatic,43,F,primaria,2,rentada,44,450.74
H000022,14001,Acatic,37,F,secundaria,3,prestada,58,212.03
H000023,14001,Acatic,60,F,superior,2,propia,64,253.05
H000024,14001,Acatic,43,F,primaria,3,propia,49,612.14
H000025,14001,Acatic,40,M,media_superior,3,prestada,66,139.04
H000026,14001,Acatic,41,F,media_superior,2,propia,115,326.13
H000027,14001,Acatic,51,F,superior,2,propia,35,392.07
H000028,14001,Acatic,49,F,primaria,3,propia,35,424.12
H000029,14001,Acatic,50,M,superior,0,prestada,33,431.43
H000030,14001,Acatic,50,F,secundaria,3,propia,48,343.91
H000031,14001,Acatic,71,F,secundaria,2,rentada,27,320.28
H000032,14001,Acatic,40,F,media_superior,3,propia,152,259.43
H000033,14001,Acatic,39,F,primaria,5,propia,103,762.21
H000034,14001,Acatic,35,F,media_superior,3,propia,41,537.13
H000035,14001,Acatic,52,F,secundaria,2,propia,110,433.52
H000036,14001,Acatic,59,F,media_superior,2,prestada,26,368.15
H000037,14001,Acatic,44,M,media_superior,0,rentada,168,290.4
H000038,14001,Acatic,35,F,secundaria,1,prestada,52,371.55
H000039,14001,Acatic,35,F,sin_estudios,4,rentada,57,245.95
H000040,14001,Acatic,53,F,primaria,5,propia,147,704.03
H000041,14001,Acatic,54,F,media_superior,1,propia,140,255.69
H000042,14001,Acatic,52,F,secundaria,3,propia,30,216.44
H000043,14001,Acatic,37,F,superior,4,propia,56,1449.18
H000044,14001,Acatic,48,F,primaria,5,propia,163,356.36
H000045,14001,Acatic,46,M,secundaria,1,propia,46,257.33
H000046,14001,Acatic,48,F,media_superior,5,propia,74,536.41
H000047,14001,Acatic,55,M,media_superior,3,propia,87,208.39
