id_hogar,cve_municipio,municipio,edad_receptor,genero_receptor,escolaridad,n_dependientes,tipo_vivienda_actual,antiguedad_recepcion_meses,remesa_mediana_esperada_usd,remesa_total_24m,m_2023_01,m_2023_02,m_2023_03,m_2023_04,m_2023_05,m_2023_06,m_2023_07,m_2023_08,m_2023_09,m_2023_10,m_2023_11,m_2023_12,m_2024_01,m_2024_02,m_2024_03,m_2024_04,m_2024_05,m_2024_06,m_2024_07,m_2024_08,m_2024_09,m_2024_10,m_2024_11,m_2024_12
H000001,14001,Acatic,49,M,media_superior,1,propia,51,429.88,9717.5287,382.5552,264.16,529.532,525.6041,247.5857,293.642,436.3644,389.0365,407.6044,340.0604,526.6404,551.9609,0.0,499.0801,487.3259,309.8789,489.1915,324.7773,543.9335,420.6719,387.9828,357.6838,582.4547,419.8026
H000002,14001,Acatic,33,F,primaria,2,propia,49,426.73,10282.0261,306.2266,320.8989,493.0453,440.6985,491.9174,484.8051,782.346,376.0972,349.8486,341.4827,483.8787,607.4168,335.8333,278.0669,0.0,479.1767,542.0395,501.0588,343.1703,453.642,420.7879,462.3799,521.5598,465.6491
H000003,14001,Acatic,54,F,secundaria,1,prestada,88,441.77,10190.4199,438.7832,375.7691,475.2534,493.2619,294.1305,402.6509,376.2107,363.6688,388.2858,696.2313,324.2359,599.8501,219.3524,333.8953,457.9463,486.7792,555.8924,558.2507,389.8883,383.0113,541.5201,424.396,287.4802,323.6761
H000004,14001,Acatic,56,F,superior,1,prestada,80,456.78,9768.9717,283.7805,440.7579,470.6888,518.962,411.4859,479.0794,536.6216,414.2184,497.7092,382.1922,388.5723,417.2898,261.6649,439.4416,393.3063,425.3019,537.1769,521.3435,542.9272,0.0,384.3914,453.4282,263.4129,305.2189
H000005,14001,Acatic,22,F,superior,2,propia,105,643.23,14372.8038,355.0023,400.2532,714.8301,457.4279,587.8585,942.9637,566.4337,793.149,465.9844,615.3745,460.5719,595.0336,669.8793,323.0401,722.1383,639.8423,551.7422,421.2054,642.3411,546.7916,656.2422,657.8351,974.1611,612.7023
H000006,14001,Acatic,29,F,sin_estudios,2,rentada,37,184.23,4219.4968,111.0123,161.9294,194.2123,254.7081,240.4081,204.8077,276.7724,129.0519,145.4893,142.6246,155.4941,125.6734,180.6487,143.9256,118.2261,126.8469,206.2765,235.8861,0.0,430.3432,198.2566,140.0127,93.2381,203.6528
H000007,14001,Acatic,47,F,superior,0,rentada,47,360.88,7648.9698,231.3224,266.3897,297.9849,321.2259,503.9477,0.0,336.7764,264.4156,210.3237,317.927,336.1685,619.6667,305.1193,0.0,308.0176,236.423,277.6116,292.0051,659.0653,281.5816,439.8421,281.3273,448.9331,412.8953
H000008,14001,Acatic,41,M,primaria,3,propia,38,152.89,3701.9632,118.8248,125.977,124.6717,161.6765,136.6128,0.0,102.7203,159.7144,231.5974,162.8326,139.7349,169.9099,182.5498,135.9746,133.9239,196.2542,177.0765,240.2498,157.7406,105.9817,97.4953,252.2455,239.9845,148.2146
H000009,14001,Acatic,45,M,secundaria,1,rentada,138,455.1,10325.6379,330.9418,582.8247,324.9649,324.6639,561.3642,405.7756,444.2806,430.7553,478.8267,699.059,442.2896,561.8272,202.8733,374.1147,351.1322,295.1995,359.1441,413.0445,582.2108,306.1711,437.5681,401.1844,391.1851,624.2365
H000010,14001,Acatic,35,M,primaria,2,rentada,113,284.78,5520.0806,271.4018,351.6622,268.9552,0.0,272.3256,306.1355,293.241,205.6934,0.0,309.4365,564.3097,504.8828,180.3957,218.2628,183.1477,222.1246,319.055,0.0,224.7817,233.3849,144.4713,0.0,197.293,249.1205
H000011,14001,Acatic,56,F,secundaria,1,rentada,38,405.23,9727.1847,254.9219,328.695,239.0422,244.3785,773.1822,278.0058,287.127,690.008,905.9558,291.9453,344.1945,457.7688,547.7648,252.9267,372.6485,472.2837,470.1643,363.2727,380.9288,268.7666,360.056,380.8064,410.5371,351.8042
H000012,14001,Acatic,54,F,sin_estudios,0,propia,96,268.47,6118.7227,250.906,301.3823,277.7029,276.1462,278.4785,268.7784,212.3766,292.555,248.6143,504.3384,403.2148,0.0,174.6266,161.5034,376.3789,269.0243,315.6669,161.051,344.6196,304.6435,184.654,237.5446,274.5166,0.0
H000013,14001,Acatic,46,F,primaria,2,propia,45,262.93,6023.936,196.3762,212.6941,241.3147,255.0868,0.0,123.9083,239.7989,274.9827,273.2817,239.546,148.5675,295.8393,355.2719,139.7638,334.8418,221.4896,263.7187,193.2379,233.0254,382.4251,297.2743,444.2835,351.5616,305.6463
H000014,14001,Acatic,59,F,primaria,2,propia,80,312.49,7285.4091,424.2982,296.4239,393.7915,265.7193,325.4162,254.9226,408.5106,219.5703,0.0,300.258,417.0724,398.0748,433.9616,322.9334,194.6627,284.2481,226.2216,268.6876,476.1115,374.1776,242.528,235.809,298.5841,223.4261
H000015,14001,Acatic,51,F,superior,2,rentada,71,394.27,8361.6911,263.4674,360.3143,0.0,437.3238,205.4909,431.6044,393.7141,442.1022,603.7826,218.6316,0.0,479.2128,201.6748,507.0772,434.135,468.9467,340.504,501.2215,527.4951,419.223,402.4496,433.7356,289.5846,0.0
H000016,14001,Acatic,35,M,secundaria,4,prestada,159,517.53,12675.9658,402.7061,0.0,685.92,351.8669,509.4681,800.3808,406.7595,403.7076,523.3129,673.8332,491.4092,781.2067,541.5862,552.5476,601.7962,950.8001,497.6204,287.7339,810.3415,449.3079,509.0061,772.4264,305.9933,366.2352
H000017,14001,Acatic,49,M,media_superior,2,rentada,127,272.74,6303.9353,138.7066,180.1409,306.6673,295.1044,302.0581,180.352,135.3423,275.1946,226.2741,317.1623,317.1708,290.2502,277.4326,243.2655,314.9172,205.7341,264.222,289.2838,339.2836,241.2746,302.8495,256.343,249.3528,355.5533
H000018,14001,Acatic,33,F,secundaria,5,rentada,103,404.38,8251.1383,183.3112,230.4673,0.0,189.0908,338.4041,504.457,363.641,425.5667,530.5049,606.769,374.9956,0.0,338.0906,263.7166,335.6427,242.9019,318.1845,364.4462,500.5455,665.4798,256.8069,461.1441,281.9552,475.0165
H000019,14001,Acatic,56,F,primaria,1,propia,25,456.0,10072.2333,357.0675,222.1513,591.8118,0.0,398.1219,333.4788,367.9194,513.427,411.028,0.0,479.9079,686.6529,335.5525,246.483,616.4466,383.7958,645.9295,0.0,428.9922,501.6401,770.4354,852.5647,440.4143,488.4126
H000020,14001,Acatic,44,F,sin_estudios,4,propia,68,304.8,6978.4586,340.1924,198.2939,332.16,280.6177,341.3145,238.9215,186.8796,164.698,209.2143,270.7089,264.6589,550.0407,343.1768,191.6309,0.0,250.9073,286.3387,322.2036,357.4025,273.9831,396.8997,221.5094,288.9843,667.7221
H000021,14001,Acatic,43,F,primaria,2,rentada,44,450.74,9967.0946,391.62,572.4771,457.5756,0.0,452.6951,429.2284,350.5517,507.8639,334.4998,556.8619,586.6002,512.9262,337.2328,429.4495,406.8568,550.2979,268.8786,408.9092,245.6505,288.589,640.9745,595.6889,345.342,296.3252
H000022,14001,Acatic,37,F,secundaria,3,prestada,58,212.03,5095.4308,72.2674,150.7354,426.4309,223.4801,183.7281,0.0,131.0967,192.9534,208.024,210.0801,253.0868,239.7374,209.9429,144.459,272.7281,317.3003,162.866,163.5729,306.8331,199.0508,305.0749,189.2093,307.5775,225.1955
H000023,14001,Acatic,60,F,superior,2,propia,64,253.05,5416.717,222.1398,334.0442,224.8808,178.0814,226.536,289.3097,156.2387,0.0,205.8501,360.1701,118.5794,205.2697,125.5144,165.5687,268.9369,222.7172,239.8954,241.7684,262.6275,186.8908,296.7272,312.3601,268.1307,304.48
H000024,14001,Acatic,43,F,primaria,3,propia,49,612.14,12439.8245,543.4249,927.7154,589.679,518.9166,0.0,452.6201,415.3311,468.2717,571.3118,686.1758,588.0605,499.6323,648.8059,634.2038,577.2522,468.8207,734.3275,0.0,391.2282,595.8614,629.9292,477.6524,612.4988,408.1052
H000025,14001,Acatic,40,M,media_superior,3,prestada,66,139.04,3226.1248,167.4906,167.2446,127.5894,143.5075,69.9864,99.1295,124.7064,100.789,163.4003,253.9471,93.1499,111.1141,121.2427,186.0599,95.9767,138.7673,242.359,85.7121,93.3292,121.9256,113.7111,179.3513,141.2539,84.3813
H000026,14001,Acatic,41,F,media_superior,2,propia,115,326.13,7261.3927,308.7445,229.5453,468.5337,251.6378,0.0,382.7088,398.8972,369.3866,189.4631,388.1061,227.8118,357.0965,174.7328,310.0289,254.3459,207.617,410.6917,350.4986,266.267,495.8672,273.0517,334.5407,333.9843,277.8354
H000027,14001,Acatic,51,F,superior,2,propia,35,392.07,9399.668,366.3764,279.5516,343.3617,542.6084,294.9963,193.3046,615.1034,822.8924,331.6872,225.6305,338.712,368.3593,301.7504,235.7898,459.3265,424.2592,258.2013,481.9403,700.2729,409.4949,338.3694,382.1415,444.4826,241.0552
H000028,14001,Acatic,49,F,primaria,3,propia,35,424.12,9240.0176,362.1973,315.3675,721.0074,373.8355,706.7235,307.0852,492.6777,462.5631,313.131,454.0149,572.962,394.1006,210.0272,351.851,321.5926,355.8283,0.0,257.3477,258.0532,485.1876,346.6411,202.9879,505.36,469.4752
H000029,14001,Acatic,50,M,superior,0,prestada,33,431.43,10639.3689,284.7051,244.4188,544.926,443.4524,886.7298,488.6172,472.6534,407.9339,522.4877,526.706,589.5843,378.3076,308.9566,312.5632,537.7738,621.3523,385.0623,381.2792,462.5472,398.6018,543.6543,226.3562,320.3048,350.395
H000030,14001,Acatic,50,F,secundaria,3,propia,48,343.91,6760.6968,141.6175,216.1216,259.7997,300.7482,486.9201,320.3978,248.4438,335.8497,445.9018,262.4116,249.118,414.0514,262.2399,0.0,338.5117,392.0111,0.0,343.0773,316.0728,238.9958,207.0847,427.4023,293.5975,260.3225
H000031,14001,Acatic,71,F,secundaria,2,rentada,27,320.28,6605.8125,0.0,371.9221,162.0405,191.4777,249.4529,492.3862,340.2208,398.3986,218.3747,234.2951,345.6793,332.9342,306.1875,252.7624,343.4468,311.2333,410.9677,0.0,194.6315,164.4308,409.5223,461.2322,224.626,189.59
H000032,14001,Acatic,40,F,media_superior,3,propia,152,259.43,6314.6091,217.3423,284.3174,434.5774,280.0536,237.5464,199.8211,0.0,235.9543,183.5021,481.0434,414.6344,370.0462,161.1081,278.0591,309.3399,0.0,382.35,312.9771,315.1878,310.586,273.2133,156.1671,251.6125,225.1694
H000033,14001,Acatic,39,F,primaria,5,propia,103,762.21,16755.468,425.9941,1041.3611,1251.3414,1053.8075,838.9407,1134.3733,0.0,0.0,526.8655,870.267,734.217,531.3693,611.0059,620.8961,1276.7838,919.3412,781.0033,820.8822,754.9442,713.1259,528.5764,740.9375,579.4346,0.0
H000034,14001,Acatic,35,F,media_superior,3,propia,41,537.13,11650.0501,507.8716,502.4253,314.165,480.6572,734.7542,733.8537,709.6898,539.513,399.3712,397.0833,562.4251,613.5268,637.8248,618.624,510.6109,345.8206,499.4765,573.1423,494.9017,450.1571,0.0,0.0,422.7244,601.4314
H000035,14001,Acatic,52,F,secundaria,2,propia,110,433.52,9871.5508,313.5136,388.3645,464.2042,287.8318,384.3917,661.9141,301.3403,231.2676,239.1514,444.3091,414.0015,427.9705,503.8557,164.9507,481.2338,636.0289,317.9403,388.2173,339.8014,331.0922,375.3592,669.8328,703.5771,401.4013
H000036,14001,Acatic,59,F,media_superior,2,prestada,26,368.15,9538.0002,524.0854,310.2199,608.7997,332.2977,390.7083,410.3058,915.1781,469.3729,285.0284,497.1973,313.2891,325.8253,391.1667,309.8112,394.8295,342.9297,415.007,417.5345,203.8361,444.5992,262.9415,244.9675,342.475,385.5944
H000037,14001,Acatic,44,M,media_superior,0,rentada,168,290.4,6258.8969,192.7873,309.0689,193.5304,239.0628,249.7751,286.7775,308.1435,214.5162,342.2711,300.6033,157.7031,166.9904,235.4637,226.9521,278.407,267.1938,316.8638,383.9741,204.9007,204.4285,200.7431,321.2151,396.0665,261.4589
H000038,14001,Acatic,35,F,secundaria,1,prestada,52,371.55,7823.4257,145.0673,187.8804,287.5284,292.6233,336.5659,376.2045,331.494,502.0659,290.3115,293.1188,404.6886,241.8994,338.9984,319.3016,351.6319,549.4226,316.0895,681.0453,340.001,253.612,0.0,275.2769,281.9848,426.6137
