cve_municipio,municipio,serie_sie,fecha,trimestre,remesas_musd
14001,Acatic,SE41857,2013-01-01,2013-Q1,2.417763
14002,Acatlán de Juárez,SE41858,2013-01-01,2013-Q1,1.319164
14003,Ahualulco de Mercado,SE41859,2013-01-01,2013-Q1,2.130331
14004,Amacueca,SE41860,2013-01-01,2013-Q1,0.22525
14005,Amatitán,SE41861,2013-01-01,2013-Q1,1.08726
14006,Ameca,SE41862,2013-01-01,2013-Q1,8.098548
14008,Arandas,SE41863,2013-01-01,2013-Q1,6.653369
14010,Atemajac de Brizuela,SE41864,2013-01-01,2013-Q1,0.135795
14011,Atengo,SE41865,2013-01-01,2013-Q1,0.277466
14012,Atenguillo,SE41866,2013-01-01,2013-Q1,0.714998
14013,Atotonilco el Alto,SE41867,2013-01-01,2013-Q1,5.638376
14014,Atoyac,SE41868,2013-01-01,2013-Q1,0.755604
14015,Autlán de Navarro,SE41869,2013-01-01,2013-Q1,5.815075
14016,Ayotlán,SE41870,2013-01-01,2013-Q1,2.68387
14017,Ayutla,SE41871,2013-01-01,2013-Q1,2.813417
14019,Bolaños,SE41872,2013-01-01,2013-Q1,0.277344
14020,Cabo Corrientes,SE41873,2013-01-01,2013-Q1,0.186804
14117,Cañadas de Obregón,SE41874,2013-01-01,2013-Q1,0.535119
14021,Casimiro Castillo,SE41875,2013-01-01,2013-Q1,2.878929
14030,Chapala,SE41876,2013-01-01,2013-Q1,4.379279
14031,Chimaltitán,SE41877,2013-01-01,2013-Q1,0.0
14032,Chiquilistlán,SE41878,2013-01-01,2013-Q1,0.633737
14022,Cihuatlán,SE41879,2013-01-01,2013-Q1,2.956327
14024,Cocula,SE41880,2013-01-01,2013-Q1,3.936548
14025,Colotlán,SE41881,2013-01-01,2013-Q1,3.798617
14026,Concepción de Buenos Aires,SE41882,2013-01-01,2013-Q1,0.645226
14027,Cuautitlán de García Barragán,SE41883,2013-01-01,2013-Q1,0.718993
14028,Cuautla,SE41884,2013-01-01,2013-Q1,0.619541
14029,Cuquío,SE41885,2013-01-01,2013-Q1,2.886108
14033,Degollado,SE41886,2013-01-01,2013-Q1,5.691227
14034,Ejutla,SE41887,2013-01-01,2013-Q1,0.415979
14009,El Arenal,SE41888,2013-01-01,2013-Q1,0.403241
14037,El Grullo,SE41889,2013-01-01,2013-Q1,5.892557
14054,El Limón,SE41890,2013-01-01,2013-Q1,0.291691
14070,El Salto,SE41891,2013-01-01,2013-Q1,2.348435
14035,Encarnación de Díaz,SE41892,2013-01-01,2013-Q1,5.834802
14036,Etzatlán,SE41893,2013-01-01,2013-Q1,2.199949
14079,Gómez Farías,SE41894,2013-01-01,2013-Q1,0.33613
14038,Guachinango,SE41895,2013-01-01,2013-Q1,0.756063
14039,Guadalajara,SE41896,2013-01-01,2013-Q1,75.230612
14040,Hostotipaquillo,SE41897,2013-01-01,2013-Q1,0.185
14041,Huejúcar,SE41898,2013-01-01,2013-Q1,1.759628
14042,Huejuquilla el Alto,SE41899,2013-01-01,2013-Q1,2.418067
14044,Ixtlahuacán de los Membrillos,SE41900,2013-01-01,2013-Q1,0.391745
14045,Ixtlahuacán del Río,SE41901,2013-01-01,2013-Q1,1.501427
14046,Jalostotitlán,SE41902,2013-01-01,2013-Q1,2.878616
14047,Jamay,SE41903,2013-01-01,2013-Q1,1.166474
14048,Jesús María,SE41904,2013-01-01,2013-Q1,3.492858
14049,Jilotlán de los Dolores,SE41905,2013-01-01,2013-Q1,0.112317
14050,Jocotepec,SE41906,2013-01-01,2013-Q1,3.19983
14051,Juanacatlán,SE41907,2013-01-01,2013-Q1,0.536363
14052,Juchitlán,SE41908,2013-01-01,2013-Q1,0.603671
14018,La Barca,SE41909,2013-01-01,2013-Q1,10.379042
14043,La Huerta,SE41910,2013-01-01,2013-Q1,1.672407
14057,La Manzanilla de la Paz,SE41911,2013-01-01,2013-Q1,0.910119
14053,Lagos de Moreno,SE41912,2013-01-01,2013-Q1,11.318846
14055,Magdalena,SE41913,2013-01-01,2013-Q1,1.961617
14058,Mascota,SE41914,2013-01-01,2013-Q1,1.749736
14059,Mazamitla,SE41915,2013-01-01,2013-Q1,1.180328
14060,Mexticacán,SE41916,2013-01-01,2013-Q1,0.660897
14061,Mezquitic,SE41917,2013-01-01,2013-Q1,0.628468
14062,Mixtlán,SE41918,2013-01-01,2013-Q1,0.445367
14063,Ocotlán,SE41919,2013-01-01,2013-Q1,7.083632
14064,Ojuelos de Jalisco,SE41920,2013-01-01,2013-Q1,5.672885
14065,Pihuamo,SE41921,2013-01-01,2013-Q1,1.465906
14066,Poncitlán,SE41922,2013-01-01,2013-Q1,3.611793
14067,Puerto Vallarta,SE41923,2013-01-01,2013-Q1,12.818676
14069,Quitupan,SE41924,2013-01-01,2013-Q1,1.55565
14071,San Cristóbal de la Barranca,SE41925,2013-01-01,2013-Q1,0.0
14072,San Diego de Alejandría,SE41926,2013-01-01,2013-Q1,0.421594
14113,San Gabriel,SE41927,2013-01-01,2013-Q1,1.53751
