"Índices de Morosidad del Crédito al Sector Privado No Financiero"
"","a) Total 1/","b) Empresas 1/","c) Vivienda","d) Consumo 1/"
"","Por ciento","Por ciento","Por ciento","Por ciento"
"","Banca Comercial 2/","Banca de Desarrollo","Banca Comercial 2/","Banca de Desarrollo","Banca Comercial 1/","Infonavit 3/","Total","Tarjetas de Crédito","ABCD 4/","Nómina","Personales"
"ene-16","3.15","1.34","2.72","1.09","3.35","7.48","3.96","4.90","1.85","2.92","4.62"
"feb-16","3.14","1.35","2.71","1.10","3.32","7.58","3.96","4.94","1.78","2.93","4.60"
"mar-16","3.12","1.29","2.72","1.03","3.27","7.58","3.87","4.92","1.72","2.80","4.45"
"abr-16","3.08","1.29","2.65","1.04","3.25","7.60","3.88","5.08","1.70","2.72","4.36"
"may-16","3.07","1.28","2.55","1.02","3.24","7.57","4.03","5.17","1.76","2.93","4.45"
"jun-16","2.99","1.75","2.45","1.57","3.19","7.91","3.96","5.01","1.71","3.09","4.36"
"jul-16","2.93","1.76","2.38","1.58","3.02","7.89","4.02","5.13","1.74","3.12","4.38"
"ago-16","2.92","2.09","2.37","1.95","2.99","8.17","4.01","5.07","1.76","3.14","4.41"
"sep-16","2.86","2.06","2.26","1.93","2.97","8.04","4.06","5.12","1.78","3.26","4.39"
"oct-16","2.77","2.05","2.05","1.92","2.97","8.07","4.15","5.24","1.84","3.33","4.44"
"nov-16","2.72","2.05","1.96","1.92","2.94","7.77","4.19","5.13","1.85","3.44","4.64"
"dic-16","2.60","2.01","1.86","1.88","2.77","7.66","4.08","4.92","1.77","3.40","4.59"
"ene-17","2.61","2.09","1.88","1.96","2.78","7.48","4.14","4.93","1.78","3.34","4.91"
"feb-17","2.61","2.13","1.93","2.01","2.65","7.79","4.14","5.09","1.74","3.18","4.89"
"mar-17","2.58","2.03","1.93","1.91","2.59","7.77","4.09","5.19","1.71","2.95","4.78"
"abr-17","2.55","2.02","1.89","1.91","2.61","8.03","4.03","5.05","1.77","2.97","4.73"
"may-17","2.60","1.93","1.90","1.81","2.64","7.98","4.20","5.29","1.88","3.18","4.83"
"jun-17","2.50","1.90","1.70","1.76","2.65","8.14","4.23","5.35","1.84","2.96","5.15"
"jul-17","2.52","1.88","1.70","1.75","2.68","8.10","4.28","5.40","1.92","2.99","5.24"
"ago-17","2.50","1.59","1.65","1.40","2.70","8.21","4.30","5.46","1.95","2.90","5.25"
"sep-17","2.47","1.56","1.63","1.38","2.64","8.03","4.31","5.53","2.00","2.84","5.22"
"oct-17","2.55","1.92","1.70","1.77","2.65","8.14","4.50","5.75","2.15","2.96","5.44"
"nov-17","2.58","1.60","1.72","1.38","2.71","8.01","4.49","5.52","2.24","3.07","5.58"
"dic-17","2.52","1.61","1.70","1.38","2.69","8.02","4.38","5.32","2.25","3.03","5.64"
