fecha,imor_vivienda_bc
2016-01-01,3.35
2016-02-01,3.32
2016-03-01,3.27
2016-04-01,3.25
2016-05-01,3.24
2016-06-01,3.19
2016-07-01,3.02
2016-08-01,2.99
2016-09-01,2.97
2016-10-01,2.97
2016-11-01,2.94
2016-12-01,2.77
2017-01-01,2.78
2017-02-01,2.65
2017-03-01,2.59
2017-04-01,2.61
2017-05-01,2.64
2017-06-01,2.65
2017-07-01,2.68
2017-08-01,2.7
2017-09-01,2.64
2017-10-01,2.65
2017-11-01,2.71
2017-12-01,2.69
2018-01-01,2.72
2018-02-01,2.75
2018-03-01,2.74
2018-04-01,2.73
2018-05-01,2.82
2018-06-01,2.63
2018-07-01,2.72
2018-08-01,2.68
2018-09-01,2.61
2018-10-01,2.59
2018-11-01,2.64
2018-12-01,2.64
2019-01-01,2.58
2019-02-01,2.62
2019-03-01,2.54
2019-04-01,2.62
2019-05-01,2.63
2019-06-01,2.64
2019-07-01,2.71
2019-08-01,2.67
2019-09-01,2.77
2019-10-01,2.82
2019-11-01,2.77
2019-12-01,2.88
2020-01-01,2.98
2020-02-01,2.91
2020-03-01,3.12
2020-04-01,3.13
2020-05-01,3.17
2020-06-01,3.13
2020-07-01,3.16
2020-08-01,3.29
2020-09-01,3.25
2020-10-01,3.09
2020-11-01,3.23
2020-12-01,3.35
2021-01-01,3.36
2021-02-01,3.5
2021-03-01,3.61
2021-04-01,3.62
2021-05-01,3.64
2021-06-01,3.6
2021-07-01,3.5
2021-08-01,3.47
2021-09-01,3.42
2021-10-01,3.34
2021-11-01,3.33
2021-12-01,3.15
2022-01-01,3.23
2022-02-01,3.16
2022-03-01,3.05
