cve_municipio,municipio,viv_tot,pct_viv_remesas,pct_viv_emigrantes,pct_viv_circular,pct_viv_retorno,iim_dp2,gim_dp2,pos_nacional
14001,Acatic,6362,9.698208111,3.85099025,0.9929078,1.50895945,61.87355,Medio,554
14002,Acatlán de Juárez,6308,11.01062986,1.8230818,1.23652505,1.26823082,61.81981,Medio,540
14003,Ahualulco de Mercado,6437,13.5932888,2.28367252,0.74778003,1.98850396,61.88611,Medio,558
14004,Amacueca,1540,14.95448635,0.12987013,0.06501951,0.77922078,63.3359,Bajo,967
14005,Amatitán,4216,8.995964871,1.94497154,0.28503563,0.61669829,63.46327,Bajo,1027
14006,Ameca,17511,19.10798926,3.80332363,1.01918122,1.36485638,60.80341,Alto,355
14007,San Juanito de Escobedo,2617,17.36801836,2.98051204,1.03607061,1.49196634,61.08889,Alto,408
14008,Arandas,22394,5.421094936,1.91122622,0.2241047,0.82611414,63.903,Bajo,1253
14009,El Arenal,5733,6.754155731,1.44775859,0.45406916,1.39835693,63.36859,Bajo,982
14010,Atemajac de Brizuela,1879,12.66631187,1.01117616,0.0,0.63863757,63.57129,Bajo,1084
14011,Atengo,1498,15.62082777,2.13618158,0.40106952,1.93591455,62.14894,Medio,609
14012,Atenguillo,1311,25.32418002,4.42410374,1.52905199,3.12738368,58.82067,Muy alto,125
14013,Atotonilco el Alto,17419,8.484987657,1.07354039,0.34488705,0.72908893,63.56318,Bajo,1080
14014,Atoyac,2557,19.64774951,3.51974971,0.31360251,2.22917481,61.47931,Alto,478
14015,Autlán de Navarro,18979,12.62468992,1.92317825,0.54956669,1.46477686,62.46605,Medio,676
14016,Ayotlán,11187,9.502100653,1.88611782,0.55610369,1.57325467,62.79345,Medio,773
14017,Ayutla,3594,25.67529936,4.92487479,0.50223214,1.89204229,60.38691,Alto,281
14018,La Barca,17581,12.66010133,2.38325465,0.2282063,1.75189125,62.72558,Medio,749
14019,Bolaños,1612,4.841713222,0.93052109,0.24875622,0.62073246,64.16407,Bajo,1431
14020,Cabo Corrientes,3136,7.341206511,0.6377551,0.63877355,0.6377551,63.409,Bajo,1002
14021,Casimiro Castillo,6059,14.52384882,2.11255983,0.49644216,0.59454996,62.52554,Medio,694
14022,Cihuatlán,11748,9.18454205,1.27681307,0.29906861,1.0640109,63.41489,Bajo,1005
14023,Zapotlán el Grande,31241,4.363158401,0.69780097,0.25635274,0.74939952,64.21386,Bajo,1463
14024,Cocula,7945,14.87405542,2.42920076,1.40275496,1.57331655,60.96659,Alto,382
14025,Colotlán,5714,18.4938704,2.60763038,0.98176718,2.32761638,60.86373,Alto,366
14026,Concepción de Buenos Aires,1827,13.08155446,1.7515052,1.53592979,2.57534247,60.83755,Alto,364
14027,Cuautitlán de García Barragán,4962,9.270455462,1.16888351,0.32264569,1.24949617,63.34127,Bajo,968
14028,Cuautla,679,45.21354934,8.24742268,0.5899705,4.56553756,56.70487,Muy alto,37
14029,Cuquío,4941,16.58902167,2.99534507,1.35902637,2.34770289,60.51398,Alto,302
14030,Chapala,14886,8.800968914,1.06139997,0.57200538,1.74660755,62.9481,Medio,837
14031,Chimaltitán,891,20.53872054,4.71380471,0.79096045,1.68350168,60.69292,Alto,330
14032,Chiquilistlán,1525,17.83606557,2.29508197,0.98749177,1.57377049,61.19498,Alto,429
14033,Degollado,5984,20.3709893,7.00200535,0.87219054,4.74916388,59.35956,Alto,171
14034,Ejutla,661,24.20574887,2.57186082,0.91324201,3.93343419,59.85731,Alto,213
14035,Encarnación de Díaz,14463,13.19228376,2.77259213,0.97141271,1.57643642,61.66752,Medio,510
14036,Etzatlán,5258,14.47318372,2.73868391,1.14394662,1.63560289,61.28244,Alto,444
14037,El Grullo,7372,14.90775909,1.60065111,0.46283692,1.27509495,62.42565,Medio,674
14038,Guachinango,1274,30.21978022,2.27629513,0.39370079,1.7282011,60.51051,Alto,301
14039,Guadalajara,410458,3.573318698,0.83808818,0.27548613,0.63583392,64.28681,Bajo,1511
14040,Hostotipaquillo,2399,11.2687813,2.5010421,0.41684035,1.04210088,62.81387,Medio,780
14041,Huejúcar,1818,29.48294829,5.22552255,0.44370494,5.0660793,59.09385,Alto,140
14042,Huejuquilla el Alto,2629,30.4678585,4.79269684,2.25621415,2.89083302,57.27312,Muy alto,48
14043,La Huerta,7108,21.98930782,3.13731007,1.04284104,1.39475909,60.54751,Alto,306
14044,Ixtlahuacán de los Membrillos,19485,4.920308483,0.85193739,0.16962221,0.33358994,64.35232,Bajo,1567
14045,Ixtlahuacán del Río,5714,15.70928196,4.20021001,0.93047753,2.52189142,60.92223,Alto,376
14046,Jalostotitlán,9198,13.66601435,3.37029789,0.57847632,1.04370515,62.17407,Medio,616
14047,Jamay,6008,8.605193076,1.44806924,1.3,1.83089214,61.92239,Medio,563
14048,Jesús María,5232,20.12241775,6.95718654,1.4225298,4.22723795,58.8164,Muy alto,124
14049,Jilotlán de los Dolores,2564,24.33697348,6.12324493,0.39077765,1.48205928,60.59371,Alto,313
