cve_ent,cve_mun,nom_mun,viv_tot,viv_rem,viv_emig,viv_circ,viv_ret,iim_dp2,gim_dp2,pos_nal
1,1001,Aguascalientes,267588,5.082443285,1.30835463,0.68608579,0.79562704,63.44698,Bajo,1020.0
1,1002,Asientos,12916,15.04918287,6.03127903,1.42868235,1.47104367,60.31668,Alto,273.0
1,1003,Calvillo,15373,20.99785338,6.32277369,1.57609051,3.18090158,58.91333,Muy alto,130.0
1,1004,Cosío,3915,12.54150702,2.17113665,0.28226841,1.66028097,62.73023,Medio,754.0
1,1005,Jesús María,33465,6.3871778,1.01001046,0.34427015,0.59785371,63.85297,Bajo,1229.0
1,1006,Pabellón de Arteaga,11744,10.58412807,2.27350136,0.60564702,0.8770436,62.72944,Medio,753.0
1,1007,Rincón de Romos,13122,14.63953666,4.95351318,1.01234757,1.90519738,60.97809,Alto,387.0
1,1008,San José de Gracia,2346,16.62404092,5.45609548,0.94017094,1.96078431,60.74204,Alto,341.0
1,1009,Tepezalá,5357,13.53369423,2.35206272,1.51486815,1.19469853,61.09171,Alto,409.0
1,1010,El Llano,5008,18.05111821,10.26357827,2.24224224,2.47603834,57.88882,Muy alto,67.0
1,1011,San Francisco de los Romo,16928,6.120760959,1.48865784,0.34962963,0.96880907,63.6909,Bajo,1133.0
2,2001,Ensenada,140551,7.276798809,1.67768283,0.27416038,1.22157208,63.55429,Bajo,1076.0
2,2002,Mexicali,327511,4.867884811,1.27201834,0.24483284,0.94938547,64.01601,Bajo,1326.0
2,2003,Tecate,30271,5.698608402,1.47335734,0.21490445,2.04155793,63.62222,Bajo,1102.0
2,2004,Tijuana,565684,6.026260715,1.23903098,0.2918319,2.31537619,63.44798,Bajo,1021.0
2,2005,Playas de Rosarito,39312,12.61039859,1.41941392,0.04580502,3.27847907,62.71529,Medio,748.0
2,2006,San Quintín,35588,7.142857143,0.42430033,1.64123642,0.77835225,62.11077,Medio,603.0
3,3001,Comondú,22192,2.843366979,0.39203317,0.08116883,0.27496056,64.80383,Muy bajo,1935.0
3,3002,Mulegé,19324,1.618442964,0.50196647,0.11404282,0.28479702,64.87989,Muy bajo,2013.0
3,3003,La Paz,90871,1.664811979,0.4467872,0.17957673,0.30837344,64.79134,Muy bajo,1921.0
3,3008,Los Cabos,101114,2.695283254,0.23636687,0.13473751,0.6873057,64.66311,Muy bajo,1805.0
3,3009,Loreto,5728,2.707896576,0.43645251,0.0698324,0.41958042,64.78659,Muy bajo,1913.0
4,4001,Calkiní,15509,0.838222967,0.1031659,0.11612154,0.16764459,65.06855,Muy bajo,2211.0
4,4002,Campeche,84524,1.464373232,0.29459089,0.09596474,0.32909924,64.94507,Muy bajo,2089.0
4,4003,Carmen,72713,1.400024755,0.1554055,0.0,0.26405182,65.12089,Muy bajo,2259.0
4,4004,Champotón,21878,3.73571102,1.00557638,0.49003893,0.45708017,64.00631,Bajo,1319.0
4,4005,Hecelchakán,8301,0.650524033,0.24093483,0.0,0.0,65.26556,Muy bajo,2401.0
4,4006,Hopelchén,9829,0.325567199,0.1220877,0.05093206,0.22382745,65.19453,Muy bajo,2329.0
4,4007,Palizada,2607,0.422751729,0.1150748,0.0,0.0,65.31359,Muy bajo,2431.0
4,4008,Tenabo,3073,0.455580866,0.13016596,0.06508298,0.06508298,65.20352,Muy bajo,2340.0
4,4009,Escárcega,17121,5.940073594,1.10390748,0.22257365,1.1272706,63.90164,Bajo,1252.0
4,4010,Calakmul,8500,5.746585021,0.49411765,0.0,0.70588235,64.43919,Muy bajo,1638.0
4,4011,Candelaria,13379,2.874681839,0.73249122,0.31425365,0.65061322,64.33046,Bajo,1543.0
4,4012,Seybaplaya,4249,0.0,0.0,0.0,0.0,,Nulo,
5,5001,Abasolo,366,18.03278689,2.45901639,0.54644809,2.45901639,61.47898,Alto,477.0
5,5002,Acuña,46298,6.028338157,1.14043803,0.10616861,1.75169554,63.8653,Bajo,1238.0
5,5003,Allende,6839,6.068138617,1.59380026,0.27896051,0.7749671,63.82545,Bajo,1213.0
5,5004,Arteaga,8642,2.231779612,0.45128442,0.41714948,0.52258739,64.3533,Bajo,1568.0
5,5005,Candela,474,5.285412262,1.26582278,0.42283298,0.21097046,63.93937,Bajo,1275.0
5,5006,Castaños,8276,4.291586074,0.88206863,0.37503024,0.76123731,64.03074,Bajo,1332.0
5,5007,Cuatro Ciénegas,3831,3.393369877,0.86139389,0.23510972,0.31323414,64.44602,Muy bajo,1642.0
5,5008,Escobedo,907,22.29580574,5.07166483,0.11061947,1.54525386,61.36209,Alto,454.0
5,5009,Francisco I. Madero,15906,5.88457186,0.87388407,0.29596977,0.23261662,64.09919,Bajo,1379.0
5,5010,Frontera,22929,3.566595364,0.30965153,0.11791938,0.18753544,64.71067,Muy bajo,1849.0
5,5011,General Cepeda,3473,1.822916667,0.43190325,0.08645533,0.20172911,64.92779,Muy bajo,2070.0
5,5012,Guerrero,529,7.561436673,0.75614367,0.0,1.32325142,64.01372,Bajo,1324.0
5,5013,Hidalgo,496,6.85483871,0.60483871,0.40322581,1.61290323,63.51047,Bajo,1054.0
5,5014,Jiménez,2823,10.54324518,3.43606093,0.35612536,1.2398158,62.76058,Medio,763.0
5,5015,Juárez,488,16.39344262,5.73770492,0.41067762,2.04918033,61.39206,Alto,459.0
5,5016,Lamadrid,553,3.074141049,0.90415913,0.0,0.54347826,64.72095,Muy bajo,1857.0
5,5017,Matamoros,31548,6.006215513,0.96361101,0.56308456,0.54520096,63.63154,Bajo,1111.0
5,5018,Monclova,69350,3.568027702,0.83201154,0.19931539,0.36632678,64.46338,Muy bajo,1659.0
5,5019,Morelos,2296,7.749562172,1.91637631,0.17444396,1.70008718,63.45711,Bajo,1025.0
5,5020,Múzquiz,20934,12.12005353,1.85822108,0.24427627,1.4718532,62.93518,Medio,829.0
5,5021,Nadadores,1981,4.244567964,0.30287733,0.10095911,0.20191822,64.6521,Muy bajo,1796.0
5,5022,Nava,9448,5.744568098,1.18543607,0.0847009,1.12240576,64.0928,Bajo,1374.0
5,5023,Ocampo,2643,2.610669694,0.5297011,0.11359334,0.0,64.84031,Muy bajo,1967.0
5,5024,Parras,12670,1.475927388,0.24467245,0.05528353,0.05524862,65.08179,Muy bajo,2219.0
5,5025,Piedras Negras,52221,7.804083198,1.84791559,0.11118566,1.43508584,63.61936,Bajo,1101.0
5,5026,Progreso,981,10.60142712,1.42711519,0.10204082,1.22574055,63.44011,Bajo,1019.0
5,5027,Ramos Arizpe,34123,1.58076006,0.55387862,0.25262168,0.27363404,64.69598,Muy bajo,1835.0
5,5028,Sabinas,20712,5.965607188,0.86906141,0.10621862,0.84974894,64.16938,Bajo,1434.0
5,5029,Sacramento,724,3.453038674,0.13812155,0.13812155,0.55248619,64.62576,Muy bajo,1774.0
5,5030,Saltillo,242886,1.173960328,0.48335433,0.23762082,0.14476376,64.81049,Muy bajo,1942.0
5,5031,San Buenaventura,7581,4.564041683,1.05526975,0.34296267,0.89697929,63.97394,Bajo,1295.0
5,5032,San Juan de Sabinas,13165,7.677689092,1.16976833,0.1142074,0.36460311,64.04402,Bajo,1343.0
5,5033,San Pedro,26421,4.451004882,1.01812952,0.40570259,0.42012036,64.04297,Bajo,1342.0
