cve_municipio,municipio,pob_total,viv_part_hab,escolaridad_promedio,pea,pob_ocupada,tasa_ocupacion,pct_viv_internet,pct_viv_celular,pct_viv_pc,pct_viv_auto
14001,Acatic,23175,6408,7.29,11515,11441,99.3574,44.897,90.5275,25.2341,57.7247
14002,Acatlán de Juárez,25250,6372,9.23,10912,10718,98.2221,52.7464,92.9692,36.5035,50.6905
14003,Ahualulco de Mercado,23630,6519,9.52,11710,11633,99.3424,44.1939,90.3206,38.3955,58.0304
14004,Amacueca,5743,1588,8.34,2480,2444,98.5484,36.5239,83.6902,26.9521,48.2997
14005,Amatitán,16490,4213,9.2,7625,7567,99.2393,47.7095,89.1052,31.4265,56.3731
14006,Ameca,60386,17361,9.06,29067,28746,98.8957,50.6998,85.957,36.6857,60.3306
14007,San Juanito de Escobedo,9433,2665,8.67,4092,4051,98.998,35.8724,87.7674,31.7073,59.8124
14008,Arandas,80609,22770,8.1,41838,41592,99.412,53.2016,91.8357,34.3259,66.065
14009,El Arenal,21115,5681,9.28,9586,9423,98.2996,48.1077,91.6212,33.7441,54.1102
14010,Atemajac de Brizuela,7758,1820,7.64,2904,2845,97.9683,34.6703,82.967,14.9451,42.4176
14011,Atengo,5599,1530,7.66,1961,1902,96.9913,20.5229,81.1765,15.1634,52.549
14012,Atenguillo,4176,1311,8.05,1746,1718,98.3963,21.3577,88.8635,27.3074,68.1159
14013,Atotonilco el Alto,64009,17398,8.24,31024,30757,99.1394,45.1374,89.1252,30.8254,59.5298
14014,Atoyac,8689,2535,7.43,3989,3964,99.3733,35.3846,76.213,20.6312,47.929
14015,Autlán de Navarro,64931,18887,9.74,32845,32567,99.1536,60.0254,91.015,42.696,55.5673
14016,Ayotlán,41552,10738,7.07,18996,18787,98.8998,40.1565,84.3826,21.4379,51.0523
14017,Ayutla,12880,3539,8.14,5795,5714,98.6022,36.7053,82.2549,27.3524,63.7186
14018,La Barca,67937,17717,8.4,31182,30714,98.4991,48.8457,87.0407,30.4566,55.9463
