id_hogar,cve_municipio,municipio,pa_mediana_remesa,pa_media_remesa,pa_desv_remesa,pa_cv_remesa,pa_pendiente_24m,pa_pendiente_norm,pa_n_meses_sin_envio,pa_max_racha_sin_envio,pa_fuerza_estacional,pa_antiguedad_meses,pa_cuota_propuesta_mxn,pa_ratio_remesa_cuota,pb_edad,pb_genero_F,pb_n_dependientes,pb_escolaridad_ord,pb_vivienda_propia,pb_vivienda_rentada,pc_iim_dp2,pc_pct_viv_remesas,pc_pct_viv_emigrantes,pc_imn_2020,pc_escolaridad_promedio_mun,pc_pct_pob_ocupada_2sm,pc_score_regional,pc_sub_capacidad_pago,pc_sub_intensidad_migratoria,default_12m,predicted_pd,expected_loss,decision,risk_bucket,interest_rate_model
H000001,14001,Acatic,419.8026,422.5012608695653,98.71241156106755,0.2336381466836428,2.990359826086956,0.0071232522763959,1.0,1.0,0.9999952177678316,51.0,6196.463174669048,1.2194773997674226,49.0,0.0,1.0,3.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.3469838538089637,11610.392430592756,1,"(0.345, 0.422]",0.3250137342140337
H000002,14001,Acatic,462.3799,447.0446086956522,112.41506243560436,0.2514627405162076,0.5444678260869557,0.0011775335088894,1.0,1.0,0.983474420214602,49.0,6151.057808054628,1.353074293839588,33.0,1.0,2.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.31943355589905553,10610.213048104717,1,"(0.266, 0.345]",0.3126161001545751
H000003,14001,Acatic,396.2696,424.6008291666667,111.38194486289244,0.2623215434635249,-0.261378913043478,-0.0006595987000856,0.0,0.0,1.0,88.0,6367.850415635865,1.1201351059512514,54.0,1.0,1.0,2.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.37963484541284276,13054.272704020952,1,"(0.345, 0.422]",0.33970668043577934
H000004,14001,Acatic,425.3019,424.7379,85.77814167802042,0.2019554687208756,-4.654265521739132,-0.0109434392880425,1.0,1.0,0.8465769017990183,80.0,6584.210591154108,1.1626958302769177,56.0,1.0,1.0,4.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.48328746410233997,17183.158774459047,0,"(0.422, 0.525]",0.38635035884605307
H000005,14001,Acatic,603.8679500000001,598.866825,162.98199729719752,0.2721506526884296,5.823873391304348,0.0096442829782642,0.0,0.0,1.0,105.0,9271.775862664865,1.1723345409771249,22.0,1.0,2.0,4.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.29775003621241874,14907.626633854226,1,"(0.266, 0.345]",0.30285851629558846
H000006,14001,Acatic,161.9294,183.45638695652173,73.05266141952482,0.3982017886182286,-0.4789889999999992,-0.0029580113308639,1.0,1.0,1.0,37.0,2655.5652988491647,1.0975927427817904,29.0,1.0,2.0,0.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.6483828026643789,9297.843504080887,0,"(0.525, 0.803]",0.4606432611989706
H000007,14001,Acatic,306.56845,347.68044545454546,119.75228796931772,0.3444320482641976,5.816652782608696,0.0189734226813251,2.0,1.0,1.0,47.0,5201.869429781721,1.0608171109422777,47.0,1.0,0.0,4.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.5543574821388852,15571.954293348783,0,"(0.525, 0.803]",0.41833186696249847
H000008,14001,Acatic,157.7406,160.9549260869565,45.347764329589786,0.2817420095927383,3.162001086956521,0.0200455753747387,1.0,1.0,1.0,38.0,2203.81793704092,1.2883690400543644,41.0,0.0,3.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,1,0.3664192940153143,4360.615628195629,1,"(0.345, 0.422]",0.33375968230689146
H000009,14001,Acatic,409.41005,430.23490833333335,119.54289491695444,0.2778549406417206,-0.0095440869565224,-2.331180428160592e-05,0.0,0.0,0.9187663130727696,138.0,6559.994395626416,1.123382194489862,45.0,0.0,1.0,2.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.36328670249442074,12869.057154792605,1,"(0.345, 0.422]",0.3323500161224894
H000010,14001,Acatic,259.03785,276.004045,103.3882173826932,0.374589500609287,-4.649854739130434,-0.0179504838352018,4.0,1.0,0.3900715944165615,113.0,4104.933429985697,1.1358725737036486,35.0,0.0,2.0,1.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.6812143883612292,15100.234465164856,0,"(0.525, 0.803]",0.47541747476255325
H000011,14001,Acatic,361.66435,405.2993666666667,171.74149522600038,0.4237398558958198,-0.6861771304347823,-0.0018972761081781,0.0,0.0,1.0,38.0,5841.1481629085765,1.1144997727224903,56.0,1.0,1.0,2.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.4348517683538278,13716.181482430538,0,"(0.422, 0.525]",0.3645542957592226
H000012,14001,Acatic,275.33140000000003,278.1237636363636,81.1469965751545,0.2917657790696776,-3.773474695652174,-0.0137052101418587,2.0,1.0,1.0,96.0,3869.834531737694,1.2806659197840675,54.0,1.0,0.0,0.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.39622198947808346,8279.893100426922,1,"(0.345, 0.422]",0.34717089526513767
